,Area,Mean,Min ,Max,X,Y
25,0,203,203,203,9.699,15.98
26,0,86,86,86,9.519,15.89
27,0,220,220,220,18.495,5.588
28,0,106,106,106,18.42,5.302
29,0,225,225,225,16.552,7.546
30,0,233,233,233,16.462,7.817
31,0,232,232,232,17.305,9.308
32,0,162,162,162,17.561,9.218
33,0,232,232,232,16.733,14.248
34,0,102,102,102,16.567,14.368
35,0,227,227,227,17.516,12.305
36,0,179,179,179,17.742,12.124
37,0,235,235,235,11.432,1.958
38,0,208,208,208,11.492,2.109
39,0,184,184,184,7.666,16.055
40,0,125,125,125,7.47,15.89
1,0,235,235,235,5.407,13.389
2,0,133,133,133,5.332,13.133
3,0,243,243,243,6.205,13.269
4,0,196,196,196,6.205,13.043
5,0,250,250,250,7.877,11.1
6,0,212,212,212,7.666,11.175
7,0,247,247,247,6.868,10.573
8,0,205,205,205,6.627,10.618
9,0,250,250,250,8.269,8.525
10,0,129,129,129,8.254,8.766
11,0,247,247,247,11.055,9.805
12,0,183,183,183,11.191,9.865
13,0,247,247,247,12.004,11.522
14,0,147,147,147,12.034,11.703
15,0,248,248,248,11.898,13.661
16,0,151,151,151,11.974,13.45
17,0,234,234,234,15.844,15.528
18,0,234,234,234,16.07,15.468
19,0,252,252,252,15.649,8.6
20,0,254,254,254,15.679,8.329
21,0,244,244,244,6.943,5.784
22,0,110,110,110,7.139,5.723
23,0,251,251,251,9.067,6.386
24,0,147,147,147,9.172,6.235
25,0,231,231,231,4.835,6.07
26,0,198,198,198,4.82,5.859
27,0,234,234,234,18.751,6.296
28,0,157,157,157,18.661,6.13
29,0,230,230,230,18.736,5.151
30,0,108,108,108,18.556,5.03
31,0,249,249,249,15.498,3.856
32,0,141,141,141,15.498,3.63
33,0,215,215,215,13.585,0.256
34,0,133,133,133,13.435,0.346
35,0,223,223,223,10.362,0.693
36,0,171,171,171,10.588,0.648
37,0,223,223,223,8.751,1.777
38,0,90,90,90,8.871,1.777
39,0,248,248,248,16.959,12.667
40,0,249,249,249,17.11,12.501
1,0,236,236,236,4.805,4.172
2,0,137,137,137,4.955,4.353
3,0,231,231,231,5.844,3.298
4,0,104,104,104,5.994,3.057
5,0,244,244,244,6.341,5.527
6,0,234,234,234,6.356,5.693
7,0,239,239,239,7.184,5.317
8,0,214,214,214,7.184,5.166
9,0,250,250,250,8.6,6.416
10,0,128,128,128,8.389,6.235
11,0,240,240,240,8.419,6.973
12,0,173,173,173,8.344,6.793
13,0,232,232,232,4.262,6.642
14,0,185,185,185,4.202,6.883
15,0,248,248,248,7.982,10.136
16,0,119,119,119,7.817,10.016
17,0,254,254,254,12.877,7.32
18,0,126,126,126,12.667,7.214
19,0,250,250,250,14.263,6.597
20,0,245,245,245,14.399,6.446
21,0,242,242,242,12.968,3.118
22,0,118,118,118,13.194,3.133
23,0,230,230,230,4.549,11.989
24,0,167,167,167,4.549,11.763
25,0,246,246,246,9.082,13.405
26,0,142,142,142,9.007,13.585
27,0,218,218,218,7.335,15.438
28,0,104,104,104,7.154,15.287
29,0,239,239,239,15.317,12.471
30,0,231,231,231,15.423,12.727
31,0,241,241,241,15.89,15.347
32,0,102,102,102,15.86,15.061
33,0,247,247,247,15.393,12.953
34,0,171,171,171,15.332,13.103
35,0,231,231,231,13.957,16.347
36,0,175,175,175,13.997,16.136
37,0,226,226,226,11.406,0.06
38,0,224,224,224,11.667,0.181
39,0,211,211,211,9.358,16.698
40,0,213,213,213,9.659,16.678
1,0,246,246,246,13.374,8.555
2,0,255,255,255,13.269,8.766
3,0,250,250,250,13.917,11.341
4,0,253,253,253,14.127,11.326
5,0,250,250,250,13.164,10.046
6,0,142,142,142,13.389,10.016
7,0,250,250,250,15.182,10.498
8,0,163,163,163,15.242,10.302
9,0,248,248,248,16.492,11.462
10,0,108,108,108,16.688,11.341
11,0,252,252,252,12.712,7.922
12,0,233,233,233,12.832,7.832
13,0,246,246,246,12.697,6.04
14,0,239,239,239,12.908,6.085
15,0,255,255,255,12.712,5.332
16,0,211,211,211,12.591,5.256
17,0,221,221,221,12.847,0.482
18,0,83,83,83,13.043,0.467
19,0,223,223,223,14.052,0.361
20,0,228,228,228,13.962,0.587
21,0,247,247,247,10.196,2.771
22,0,147,147,147,10.001,2.801
23,0,244,244,244,9.383,3.449
24,0,247,247,247,9.534,3.434
25,0,230,230,230,15.573,14.961
26,0,123,123,123,15.583,14.71
27,0,226,226,226,10.332,16.015
28,0,165,165,165,10.161,15.844
29,0,248,248,248,10.874,12.752
30,0,245,245,245,10.754,12.641
31,0,248,248,248,9.78,12.089
32,0,107,107,107,9.549,12.159
33,0,250,250,250,6.401,10.227
34,0,151,151,151,6.522,10.453
35,0,243,243,243,6.627,11.929
36,0,242,242,242,6.356,12.034
37,0,200,200,200,7.531,15.92
38,0,156,156,156,7.485,15.829
39,0,239,239,239,17.155,13.856
40,0,207,207,207,17.245,13.766
