i,j,dist,angle,frame
16,17,5.154547506813766,46.84761026599528,0
17,6,5.62252967977938,150.36846332179522,0
6,16,4.820148545428864,162.7839264122094,0
2,3,2.5086510319293125,32.035491339580844,0
3,4,2.511861461147886,15.255118703057839,0
4,2,4.099544608855964,47.2906100426387,0
3,2,2.5086510319293125,32.035491339580844,0
2,0,2.384334078941121,1.3453701358309447,0
0,3,2.4964000080115363,33.38086147541185,0
2,1,2.45654432078886,2.290610042638753,0
1,0,1.4677469127884408,3.6359801784696804,0
0,2,2.384334078941121,1.3453701358309447,0
1,2,2.45654432078886,2.290610042638753,0
2,6,5.35553115946495,34.761802333486905,0
6,1,6.232185170548129,32.47119229084819,0
17,1,9.289316228872824,117.89727103094705,0
1,6,6.232185170548129,32.47119229084819,0
6,17,5.62252967977938,150.36846332179522,0
5,2,4.1798967690602105,47.29061004263869,0
2,4,4.099544608855964,47.2906100426387,0
4,5,4.055069049966968,0.0,0
2,5,4.1798967690602105,47.29061004263869,0
5,6,5.58680561680823,12.528807709151843,0
6,2,5.35553115946495,34.761802333486905,0
5,9,3.008468879679496,0.0,0
9,6,5.398546656277039,12.528807709151813,0
6,5,5.58680561680823,12.528807709151843,0
9,5,3.008468879679496,0.0,0
5,8,2.945052121779851,7.12501634890186,0
8,9,0.6735436140295598,7.12501634890186,0
11,9,2.856859289499572,59.036243467926575,0
9,8,0.6735436140295598,7.12501634890186,0
8,11,2.421904209501276,51.91122711902473,0
15,16,3.1674016164673513,64.65382405805323,0
16,6,4.820148545428864,162.7839264122094,0
6,15,5.913216806443003,98.13010235415625,0
9,15,6.222023224000374,85.60129464500443,0
15,6,5.913216806443003,98.13010235415625,0
6,9,5.398546656277039,12.528807709151813,0
7,11,2.433486798813587,153.1218602479014,0
11,8,2.421904209501276,51.91122711902473,0
8,7,1.8942000950269224,101.21063312887664,0
5,7,3.193845644360416,94.0856167799748,0
7,8,1.8942000950269224,101.21063312887664,0
8,5,2.945052121779851,7.12501634890186,0
7,5,3.193845644360416,94.0856167799748,0
5,4,4.055069049966968,0.0,0
4,7,6.177382374436604,94.0856167799748,0
13,10,3.3785849108761496,22.6198649480405,0
10,12,3.0924065062665993,27.814293855775315,0
12,13,1.3020791066598068,5.1944289077348,0
10,11,2.9010110306581045,8.343891584032992,0
11,12,5.92941860556328,36.158185439808214,0
12,10,3.0924065062665993,27.814293855775315,0
10,9,3.45171986117066,67.3801350519595,0
9,11,2.856859289499572,59.036243467926575,0
11,10,2.9010110306581045,8.343891584032992,0
15,10,4.5247299366923555,18.22115959304495,0
10,13,3.3785849108761496,22.6198649480405,0
13,15,1.768665315993957,4.398705354995675,0
10,15,4.5247299366923555,18.22115959304495,0
15,9,6.222023224000374,85.60129464500443,0
9,10,3.45171986117066,67.3801350519595,0
17,19,4.458913993339633,41.87786953788492,0
19,18,2.9045559040927413,51.34019174591086,0
18,17,2.7005579053225275,9.462322208025961,0
19,17,4.458913993339633,41.87786953788492,0
17,16,5.154547506813766,46.84761026599528,0
16,19,3.046637818973565,4.969740728110363,0
15,14,1.246258801373134,22.833654177917435,0
14,16,4.262705713511079,41.820169880135786,0
16,15,3.1674016164673513,64.65382405805323,0
